pathway_source,PW_Name,Gene_pairs,predictor,outcome,beta_int,abs_beta,p_value,adj_p_value
hsa04659,Th17 cell differenti,SMAD2->IL23R,SMAD2,IL23R,2.082,2.082,0.034,0.308
hsa00760,Nicotinate and nicot,NADSYN1->NMNAT2,NADSYN1,NMNAT2,-2.056,2.056,0,0.018
hsa04510,Focal adhesion,CTNNB1->CCND1,CTNNB1,CCND1,1.531,1.531,0.005,0.146
hsa05163,Human cytomegaloviru,CTNNB1->CCND1,CTNNB1,CCND1,1.531,1.531,0.005,0.146
hsa04659,Th17 cell differenti,SMAD2->RORC,SMAD2,RORC,1.522,1.522,0.02,0.256
hsa04371,Apelin signaling pat,PRKAG2->PPARGC1A,PRKAG2,PPARGC1A,-1.409,1.409,0.004,0.137
hsa00760,Nicotinate and nicot,SIRT2->NMNAT2,SIRT2,NMNAT2,-1.402,1.402,0.039,0.324
hsa04934,Cushing syndrome KEG,CREB3->POMC,CREB3,POMC,-1.354,1.354,0,0.018
hsa04659,Th17 cell differenti,MTOR->IRF4,MTOR,IRF4,-1.076,1.076,0.026,0.29
hsa05418,Fluid shear stress a,KLF2->NOS3,KLF2,NOS3,0.972,0.972,0.034,0.308
hsa00564,Glycerophospholipid ,SAMD8->DGKK,SAMD8,DGKK,-0.94,0.94,0.04,0.329
hsa04660,T cell receptor sign,NFKB1->IL10,NFKB1,IL10,-0.926,0.926,0.006,0.166
hsa05135,Yersinia infection K,NFKB1->IL10,NFKB1,IL10,-0.926,0.926,0.006,0.166
hsa04658,Th1 and Th2 cell dif,NFATC1->IL4,NFATC1,IL4,-0.876,0.876,0.011,0.208
hsa04660,T cell receptor sign,NFATC1->IL4,NFATC1,IL4,-0.876,0.876,0.011,0.208
hsa05321,Inflammatory bowel d,NFATC1->IL4,NFATC1,IL4,-0.876,0.876,0.011,0.208
hsa05152,Tuberculosis,MAPK8->IL23A,MAPK8,IL23A,-0.859,0.859,0.026,0.29
hsa00601,Glycosphingolipid bi,B4GALT1->B3GALT2,B4GALT1,B3GALT2,0.833,0.833,0.008,0.185
hsa00510,N‑Glycan biosynthesis,ALG6->ALG5,ALG6,ALG5,0.825,0.825,0,0.043
hsa00270,Cysteine and methionine,AMD1->GNMT,AMD1,GNMT,-0.808,0.808,0.001,0.075
hsa04659,Th17 cell differenti,RUNX1->RORC,RUNX1,RORC,0.794,0.794,0.015,0.23
hsa00240,Pyrimidine metabolism,NME6->DTYMK,NME6,DTYMK,0.794,0.794,0.001,0.066
hsa04917,Prolactin signaling ,NFKB1->CCND1,NFKB1,CCND1,0.786,0.786,0.02,0.256
hsa05200,Pathways in cancer,NFKB1->CCND1,NFKB1,CCND1,0.786,0.786,0.02,0.256
hsa05222,Small cell lung canc,NFKB1->CCND1,NFKB1,CCND1,0.786,0.786,0.02,0.256
hsa00561,Glycerolipid metabol,MGLL->LPL,MGLL,LPL,0.765,0.765,0.005,0.146
hsa04659,Th17 cell differenti,STAT3->IL23R,STAT3,IL23R,0.758,0.758,0.013,0.224
hsa00760,Nicotinate and nicot,NT5C1B-RDH14->NMNAT2,NT5C1B-RDH14,NMNAT2,0.754,0.754,0.001,0.05
hsa00590,Arachidonic acid met,PTGES3->HPGDS,PTGES3,HPGDS,-0.75,0.75,0.026,0.29
hsa04137,Mitophagy – animal,ATF4->PRKN,ATF4,PRKN,-0.724,0.724,0.018,0.251
hsa00564,Glycerophospholipid ,CEPT1->PEMT,CEPT1,PEMT,0.719,0.719,0.013,0.223
hsa00230,Purine metabolism,NME6->NUDT16,NME6,NUDT16,-0.712,0.712,0.017,0.25
hsa00010,Glycolysis,ACSS2->ALDH2,ACSS2,ALDH2,-0.711,0.711,0,0.01
hsa00620,Pyruvate metabolism ,ACSS2->ALDH2,ACSS2,ALDH2,-0.711,0.711,0,0.01
hsa00564,Glycerophospholipid ,LPCAT3->PLD4,LPCAT3,PLD4,0.698,0.698,0.049,0.355
hsa05163,Human cytomegaloviru,NFATC1->CXCL8,NFATC1,CXCL8,0.696,0.696,0.018,0.251
hsa05235,PD‑L1 expression and,NFKB1->CD274,NFKB1,CD274,0.69,0.69,0.023,0.278
hsa05235,PD‑L1 expression and,HIF1A->CD274,HIF1A,CD274,0.681,0.681,0.001,0.071
hsa04933,AGE‑RAGE signaling p,STAT5A->CCND1,STAT5A,CCND1,0.676,0.676,0.043,0.338
hsa04658,Th1 and Th2 cell dif,NFKB1->IL2RA,NFKB1,IL2RA,0.661,0.661,0.011,0.211
hsa05166,Human T‑cell leukemi,NFKB1->IL2RA,NFKB1,IL2RA,0.661,0.661,0.011,0.211
hsa00510,N‑Glycan biosynthesis,ALG6->ALG9,ALG6,ALG9,0.659,0.659,0,0.031
hsa04935,Growth hormone synth,STAT1->IGF1,STAT1,IGF1,-0.656,0.656,0.023,0.278
hsa00860,Porphyrin and chloro,HCCS->HMOX1,HCCS,HMOX1,-0.65,0.65,0.004,0.143
hsa00230,Purine metabolism,NME6->ITPA,NME6,ITPA,0.645,0.645,0.001,0.085
hsa00790,Folate biosynthesis,GCH1->MOCS1,GCH1,MOCS1,-0.626,0.626,0.003,0.126
hsa04137,Mitophagy – animal,TP53->BNIP3L,TP53,BNIP3L,-0.625,0.625,0.047,0.349
hsa05415,Diabetic cardiomyopa,PPARA->PDK2,PPARA,PDK2,-0.619,0.619,0.004,0.137
hsa04620,Toll‑like receptor s,FOS->CXCL8,FOS,CXCL8,-0.615,0.615,0.007,0.166
hsa04657,IL‑17 signaling path,FOS->CXCL8,FOS,CXCL8,-0.615,0.615,0.007,0.166
hsa05130,Pathogenic Escherich,FOS->CXCL8,FOS,CXCL8,-0.615,0.615,0.007,0.166
hsa05132,Salmonella infection,FOS->CXCL8,FOS,CXCL8,-0.615,0.615,0.007,0.166
hsa05135,Yersinia infection K,FOS->CXCL8,FOS,CXCL8,-0.615,0.615,0.007,0.166
hsa05142,Chagas disease (Amer,FOS->CXCL8,FOS,CXCL8,-0.615,0.615,0.007,0.166
hsa05200,Pathways in cancer,FOS->CXCL8,FOS,CXCL8,-0.615,0.615,0.007,0.166
