predictor,outcome,DCE,ABS(DCE),p_value,adj_p_value
ALDOA,PFKL,0.328570488,0.328570488,0.009271779,0.198504099
GAPDH,PGK1,-0.159139624,0.159139624,0.002304836,0.108059229
PDHA1,DLD,0.206981469,0.206981469,0.021460353,0.266336859
ALDOA,TPI1,-0.131805488,0.131805488,0.028603341,0.293775638
ALDOA,GAPDH,-0.220672899,0.220672899,0.003955216,0.136650225
ACSS2,ALDH2,-0.711334549,0.711334549,9.37E-06,0.010191279
GALM,ADPGK,0.095022907,0.095022907,0.001214713,0.073422671
DLD,PDHA1,0.312877702,0.312877702,0.020453389,0.258188879
PGLS,IDNK,-0.337543668,0.337543668,0.040006862,0.329753528
PGM2,RBKS,-0.257444976,0.257444976,0.023597416,0.278057641
TKT,PFKL,0.23773492,0.23773492,0.014088391,0.229777562
TKT,FBP1,-0.245950288,0.245950288,0.048654856,0.354865638
RBKS,PGM2,-0.240345157,0.240345157,0.028188733,0.291164633
FBP1,TALDO1,-0.223077471,0.223077471,0.013448804,0.224372645
TALDO1,TKT,-0.179893445,0.179893445,0.003518569,0.132007009
PGLS,PGD,-0.402901703,0.402901703,0.037605629,0.322164759
SHPK,TKT,0.308766422,0.308766422,0.012625203,0.222816645
SORD,KHK,-0.33273776,0.33273776,0.025314624,0.288789598
HK1,PFKFB1,-0.254684552,0.254684552,0.039714024,0.329001458
PFKL,ALDOA,0.203632697,0.203632697,0.019231695,0.255171762
ALDOA,TKFC,0.273219419,0.273219419,0.011214394,0.212812686
TKFC,ALDOA,0.280900672,0.280900672,0.010712508,0.208057667
TPI1,TKFC,0.422031832,0.422031832,0.004043736,0.136650225
KHK,ALDOA,0.131400668,0.131400668,0.00959922,0.200845216
GLA,GLB1,-0.173206312,0.173206312,0.000757199,0.056170425
GALM,GLB1,0.080512092,0.080512092,0.015155107,0.230388821
FASN,ACACA,-0.090478637,0.090478637,0.040266274,0.3304633
MCAT,ACACA,-0.152023011,0.152023011,0.022634216,0.27761394
FASN,MECR,-0.162505989,0.162505989,0.020645618,0.258188879
OXSM,MECR,-0.225415128,0.225415128,0.026053292,0.290358147
ACACA,MCAT,-0.311688619,0.311688619,0.035729862,0.313500727
OXSM,CBR4,0.12534997,0.12534997,0.029564955,0.299689482
OXSM,HSD17B8,-0.407139094,0.407139094,0.010596431,0.208057667
ECHS1,HADH,-0.194416867,0.194416867,0.006135549,0.165613279
MECR,ECHS1,-0.211028751,0.211028751,0.022960877,0.27761394
ECHS1,MECR,-0.181396332,0.181396332,0.037357038,0.320877298
MECR,PPT1,0.253288888,0.253288888,0.023874703,0.280313065
ACADM,CPT2,-0.15273736,0.15273736,0.03633953,0.316299266
ACADM,ACAT1,0.174449165,0.174449165,0.015276799,0.23084941
ECHS1,ACOX1,0.208883864,0.208883864,0.029233451,0.297252286
CYP7B1,HSD3B7,0.193901167,0.193901167,0.003997754,0.136650225
ATIC,NT5C1B-RDH14,0.211280815,0.211280815,0.038970008,0.326148986
CANT1,IMPDH1,-0.258272782,0.258272782,0.00042411,0.043259171
ADK,ADA,-0.428489034,0.428489034,0.00413594,0.136650225
RRM2B,NME6,-0.168859171,0.168859171,0.003860236,0.136650225
ITPA,NME6,0.196286656,0.196286656,0.000483804,0.045118212
NT5C1B-RDH14,ITPA,-0.115365272,0.115365272,0.048736182,0.354865638
ITPA,GMPS,-0.207225896,0.207225896,0.001287307,0.075031633
GUK1,NT5C1B-RDH14,-0.14334642,0.14334642,0.009754339,0.201507352
PRUNE1,HDDC3,-0.165352998,0.165352998,0.037992544,0.322461703
GUCY1A2,NUDT2,0.083526384,0.083526384,0.015175734,0.230388821
CANT1,NME6,-0.16016876,0.16016876,0.004071338,0.136650225
ADSL,NT5C1B-RDH14,0.48435626,0.48435626,0.012985106,0.22329868
PDE7B,ADSL,-0.052941517,0.052941517,0.026756359,0.290358147
PDE7B,AK6,-0.079818248,0.079818248,0.026042143,0.290358147
