ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:1901293,nucleoside phosphate biosynthetic process,62/404,322/18805,0.19254658385093168,8.962471557714778,21.35426801822397,4.894093204849392e-41,1.2468343084594154e-37,7.050042235156883e-38,NMNAT2/NADSYN1/PRKAG2/IL4/NME6/DTYMK/ACSS2/PPARA/PDK2/ACSF3/ADSL/RRM2B/ADK/ADA/QPRT/CDA/CTPS1/UCKL1/HPRT1/IMPDH1/NANS/MTHFD1/ACACA/DLAT/TGFB1/ALDOA/DLD/UMPS/PDHA1/CMPK1/SHMT1/DHODH/DUT/AMDHD2/NAGK/PPT1/ACACB/HAAO/KYNU/GNPDA1/NANP/NADK2/ATIC/GMPS/KMO/PPAT/FPGT/FCSK/FASN/PGM3/GNPNAT1/PGK1/DCTD/GUK1/GFPT1/CBR4/CMPK2/NNMT/NUDT2/GUCY1A2/AK3/COASY,62
GO:0043603,amide metabolic process,73/404,480/18805,0.15208333333333332,7.0790274339933985,19.990691702134043,5.32607564485013e-41,1.2468343084594154e-37,7.050042235156883e-38,MTOR/SAMD8/B3GALT2/HPGDS/ATF4/PEMT/ACSS2/IGF1/TP53/PDK2/GALC/PLPP1/ACSF3/ACE/MME/HAGH/GLO1/UGT8/GSTO2/IFNG/ACER3/ADA/OXSM/PRNP/NPL/NANS/MTHFD2/ACACA/NFE2L2/DLAT/MCCC1/B4GALT4/GBA1/SP1/DLD/PDHA1/SHMT1/CARNS1/B4GALT3/TNF/GLA/B4GALT6/HEXA/B3GALT4/AMDHD2/NAGK/CEBPA/PPT1/ACACB/MECR/ST3GAL3/ETHE1/RENBP/GNPDA1/SGMS2/ST6GAL1/NANP/OGDH/CTSG/ENPEP/GLB1/FASN/PGK1/CEL/UGCG/CBR4/PLAAT3/ARG1/ST6GALNAC3/CHAC2/SGPL1/NNMT/COASY,73
GO:0044282,small molecule catabolic process,62/404,370/18805,0.16756756756756758,7.7997725448220505,19.573512513496844,2.6584355644277174e-37,4.148931770883525e-34,2.3459527875563897e-34,ACSS2/ALDH2/TP53/PPARA/ACSF3/GLS2/HAGH/ABAT/ADA/TKFC/TPI1/QPRT/CDA/ECHS1/ACAD8/PCCA/ALDH6A1/NPL/FUT8/MCCC1/SORD/PFKL/DLD/ACADS/MCAT/SHMT1/CARNS1/KYAT3/OXCT1/OAT/ALDH4A1/GLUL/HIBADH/RBKS/AMDHD2/NAGK/ACACB/MPST/IL4I1/RENBP/HAAO/KYNU/GNPDA1/PKM/ACOX1/DPYD/KMO/IVD/HADH/DBT/LDHD/ACADM/GLB1/ECHDC1/SCLY/PGK1/CPT2/UPB1/DCTD/SLC25A21/ARG1/GALM,62
GO:0044248,cellular catabolic process,53/404,323/18805,0.16408668730650156,7.637747907917728,17.829642031653204,1.9513930215909843e-31,2.2841055317722473e-28,1.2915140656056122e-28,PPARA/ACSF3/GLS2/ACE/MME/ABAT/QPRT/ECHS1/ACAD8/PCCA/ALDH6A1/NPL/NFE2L2/MCCC1/TGFB1/SORD/DLD/ACADS/MCAT/SHMT1/CARNS1/KYAT3/OAT/ALDH4A1/GLUL/HIBADH/AMDHD2/NAGK/ACACB/MPST/IL4I1/RENBP/HAAO/KYNU/GNPDA1/ACOX1/ENPEP/KMO/IVD/HADH/DBT/LDHD/ACADM/GLB1/ECHDC1/SCLY/CPT2/SGSH/IDUA/SLC25A21/ARG1/CHAC2/ANPEP,53
GO:0046394,carboxylic acid biosynthetic process,52/404,334/18805,0.15568862275449102,7.246842947767831,17.068042195957588,1.0635593580152892e-29,9.959169828455168e-27,5.631266916649374e-27,PRKAG2/SIRT2/MGLL/LPL/PTGES3/HPGDS/ACSS2/ACSF3/GLS2/ALOX12/ALOX15/ABAT/GPX4/ALOX5/OXSM/HSD17B8/NANS/MTHFD1/ACACA/EDN1/MCAT/SHMT1/CARNS1/OAT/GLUL/ACACB/MECR/GAMT/GATM/HAAO/KYNU/PTGS2/UROS/NANP/PHGDH/PSAT1/DPYD/CD74/CTH/KMO/HSD3B7/CYP7B1/PER2/MTHFD1L/FASN/SEPHS2/UPB1/CBR4/MTR/MIF/PTGS1/ALOX15B,52
GO:0006163,purine nucleotide metabolic process,59/404,448/18805,0.13169642857142858,6.130077572489392,16.283853118854548,1.3558991278617467e-29,1.0580532861081163e-26,5.982607555389988e-27,NMNAT2/NADSYN1/PRKAG2/MTOR/IL4/NME6/STAT3/NUDT16/HIF1A/IGF1/ITPA/TP53/PPARA/SARM1/FBP1/ADSL/IFNG/ADK/ADA/TPI1/QPRT/PGD/PGLS/HPRT1/IMPDH1/MTHFD1/TGFB1/PFKL/ALDOA/DHTKD1/SHPK/TKT/PRKACA/RBKS/PFKFB1/ACACB/HAAO/KYNU/TALDO1/PKM/GAPDH/NADK2/NUDT13/ATIC/OGDH/GMPS/KMO/PPAT/PDE10A/ENPP1/PGK1/GUK1/PDE7B/ADPGK/NNMT/NUDT2/GUCY1A2/AK3/COASY,59
GO:0016053,organic acid biosynthetic process,52/404,337/18805,0.1543026706231454,7.182330992743191,16.968848078870632,1.664540098582296e-29,1.1133395345089014e-26,6.295215560803722e-27,PRKAG2/SIRT2/MGLL/LPL/PTGES3/HPGDS/ACSS2/ACSF3/GLS2/ALOX12/ALOX15/ABAT/GPX4/ALOX5/OXSM/HSD17B8/NANS/MTHFD1/ACACA/EDN1/MCAT/SHMT1/CARNS1/OAT/GLUL/ACACB/MECR/GAMT/GATM/HAAO/KYNU/PTGS2/UROS/NANP/PHGDH/PSAT1/DPYD/CD74/CTH/KMO/HSD3B7/CYP7B1/PER2/MTHFD1L/FASN/SEPHS2/UPB1/CBR4/MTR/MIF/PTGS1/ALOX15B,52
GO:1901136,carbohydrate derivative catabolic process,45/404,258/18805,0.1744186046511628,8.118667971448309,17.05952148722278,6.019147277324211e-28,3.5227059440539947e-25,1.9918625529566306e-25,PRKAG2/MTOR/STAT3/NUDT16/HIF1A/IGF1/ITPA/PPARA/GALC/FBP1/IFNG/ADA/TPI1/CDA/HPRT1/NPL/TGFB1/GBA1/PFKL/ALDOA/DHTKD1/PRKACA/GLA/DUT/HEXA/AMDHD2/NAGK/PFKFB1/RENBP/GNPDA1/PKM/GAPDH/OGDH/DPYD/TYMP/PDE10A/GLB1/PGK1/NAGA/UPB1/SGSH/IDUA/DCTD/PDE7B/ADPGK,45
GO:0005996,monosaccharide metabolic process,45/404,260/18805,0.17307692307692307,8.056216679360244,16.976191074660516,8.479900078136358e-28,4.411432462870492e-25,2.4943799645044383e-25,RORC/PPARGC1A/PRKAG2/B4GALT1/GNMT/ATF4/PRKN/IGF1/TP53/PPARA/PDK2/FOXO1/FBP1/GSTO2/TKFC/TPI1/AKR1B1/PGD/FUT8/DLAT/SORD/KHK/PFKL/ALDOA/PDHA1/PRKACA/TNF/MAPK14/RBKS/PGM2/PFKFB1/ACACB/PKM/GAPDH/FPGT/ZMPSTE24/ACADM/GLB1/PER2/PGK1/MAN2A2/PIK3CA/ADPGK/GALM/NNMT,45
GO:0072524,pyridine-containing compound metabolic process,39/404,187/18805,0.20855614973262032,9.707669296341399,17.73173810815666,2.2453932833254975e-27,1.051293135252998e-24,5.944383271119607e-25,NMNAT2/NADSYN1/PRKAG2/MTOR/STAT3/HIF1A/IGF1/TP53/PPARA/SARM1/FBP1/IFNG/TPI1/QPRT/PGD/PGLS/PNPO/PFKL/ALDOA/DHTKD1/SHPK/TKT/PRKACA/RBKS/PFKFB1/ACACB/HAAO/KYNU/TALDO1/PKM/GAPDH/NADK2/NUDT13/OGDH/PSAT1/KMO/PGK1/ADPGK/NNMT,39
