ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0060205,cytoplasmic vesicle lumen,28/404,329/19880,0.0851063829787234,4.187908152517379,8.397641452127486,1.8970504310817242e-10,3.3166980375784945e-8,2.8701164806943383e-8,POMC/NFKB1/IGF1/CXCL1/MAPK1/S100A8/FASLG/ALOX5/ADA/CDA/IMPDH1/TGFB1/CANT1/PFKL/ALDOA/MAPK14/GLA/PGM2/NIT2/PKM/CTSG/GLB1/ARSA/MIF/ARG1/VEGFA/AGL/AOC1,28
GO:0031983,vesicle lumen,28/404,330/19880,0.08484848484848485,4.175217521752176,8.377127742134798,2.0347840721340458e-10,3.3166980375784945e-8,2.8701164806943383e-8,POMC/NFKB1/IGF1/CXCL1/MAPK1/S100A8/FASLG/ALOX5/ADA/CDA/IMPDH1/TGFB1/CANT1/PFKL/ALDOA/MAPK14/GLA/PGM2/NIT2/PKM/CTSG/GLB1/ARSA/MIF/ARG1/VEGFA/AGL/AOC1,28
GO:0034774,secretory granule lumen,26/404,324/19880,0.08024691358024691,3.948783767265615,7.7074991307670615,2.9970159417142344e-9,3.256757323329468e-7,2.818246569752333e-7,POMC/NFKB1/IGF1/CXCL1/MAPK1/S100A8/ALOX5/CDA/IMPDH1/TGFB1/CANT1/PFKL/ALDOA/MAPK14/GLA/PGM2/NIT2/PKM/CTSG/GLB1/ARSA/MIF/ARG1/VEGFA/AGL/AOC1,26
GO:0045240,alpha-ketoacid dehydrogenase complex,7/404,19/19880,0.3684210526315789,18.12923397602918,10.758513096704403,5.547087794012121e-8,3.976135063284141e-6,3.4407626637395855e-6,PDK2/DLAT/DHTKD1/DLD/PDHA1/OGDH/DBT,7
GO:0090575,RNA polymerase II transcription regulator complex,21/404,254/19880,0.08267716535433071,4.068371404069541,7.088379390299415,6.098366661478744e-8,3.976135063284141e-6,3.4407626637395855e-6,SMAD2/CTNNB1/RUNX1/STAT3/ATF4/HIF1A/STAT5A/STAT1/FOS/STAT6/CEBPB/JUN/PPARG/STAT4/NFE2L2/THRB/IRF9/CEBPA/MYC/RFX5/LEF1,21
GO:0043202,lysosomal lumen,12/404,98/19880,0.12244897959183673,6.025459688826025,7.182767340031921,7.091585277754662e-7,3.5415113978797346e-5,3.0646595241581174e-05,GALC/FASLG/GBA1/CTSK/GLA/HEXA/PPT1/CD74/GLB1/ARSA/SGSH/IDUA,12
GO:0005775,vacuolar lumen,16/404,178/19880,0.0898876404494382,4.42318389142285,6.607286520017121,7.604472326735627e-7,3.5415113978797346e-5,3.0646595241581174e-05,GALC/MAPK1/FASLG/IMPDH1/GBA1/CTSK/GLA/HEXA/PPT1/CTSG/CD74/GLB1/ARSA/SGSH/IDUA/ARG1,16
GO:1904813,ficolin-1-rich granule lumen,13/404,124/19880,0.10483870967741936,5.158894921750241,6.6907892116734615,1.4844678808583295e-6,6.049206614497693e-5,5.2347025272372674e-5,MAPK1/ALOX5/CDA/IMPDH1/CANT1/PFKL/ALDOA/MAPK14/PGM2/PKM/GLB1/MIF/AGL,13
GO:0031968,organelle outer membrane,17/404,257/19880,0.06614785992217899,3.2549986516161344,5.2404455483589105,2.198497983159342e-5,7.914184361416898e-4,6.848567674716592e-4,MTOR/PRKN/HMOX1/BNIP3L/SARM1/BCL2A1/RETSAT/BCL2/PRNP/BID/MLXIP/ACACB/PTGS2/KMO/BAX/KRAS/COASY,17
GO:0019867,outer membrane,17/404,259/19880,0.06563706563706563,3.22986352689323,5.202423030868598,2.4276639145450608e-5,7.914184361416898e-4,6.848567674716592e-4,MTOR/PRKN/HMOX1/BNIP3L/SARM1/BCL2A1/RETSAT/BCL2/PRNP/BID/MLXIP/ACACB/PTGS2/KMO/BAX/KRAS/COASY,17
GO:0101002,ficolin-1-rich granule,14/404,185/19880,0.07567567567567568,3.723842654535724,5.3607796291232415,2.6783616319243044e-5,7.937689927339303e-4,6.868908300054676e-4,MAPK1/ALOX5/CDA/IMPDH1/CANT1/PFKL/ALDOA/MAPK14/PGM2/PKM/GLB1/MIF/MGAM/AGL,14
GO:0005741,mitochondrial outer membrane,15/404,228/19880,0.06578947368421052,3.2373632100052108,4.8937142271968,7.059725756306928e-5,0.0019178921637967154,0.0016596548269212778,MTOR/PRKN/HMOX1/BNIP3L/SARM1/BCL2A1/BCL2/PRNP/BID/MLXIP/ACACB/KMO/BAX/KRAS/COASY,15
GO:0032580,Golgi cisterna membrane,9/404,94/19880,0.09574468085106383,4.711396671582052,5.194698722930521,1.253895985205089e-4,0.0031443853167450694,0.0027210050529146873,B4GALT1/FUT8/CANT1/B4GALT3/B4GALT6/ST3GAL3/B4GALNT3/ST6GAL1/B4GALT2,9
GO:0031985,Golgi cisterna,10/404,118/19880,0.0847457627118644,4.170162778989763,4.9744513203508385,1.489848532512748e-4,0.0034692187257082557,0.003002100802356515,B4GALT1/FUT8/CANT1/B4GALT3/B4GALT6/ST3GAL3/B4GALNT3/ST6GAL1/GCNT1/B4GALT2,10
GO:0009897,external side of plasma membrane,20/404,401/19880,0.04987531172069826,2.4542603886323793,4.237103755808367,2.2482078344834426e-4,0.004558010117719228,0.003944290318207146,IL23R/B4GALT1/CD274/IL2RA/ACE/CXCL10/FASLG/ADA/PRNP/IL4R/IL12RB1/CTSK/ICAM1/TNF/CSF3R/ENPEP/CD74/ITGAM/FCGR3B/ANPEP,20
GO:0005635,nuclear envelope,23/404,496/19880,0.046370967741935484,2.2818189076972213,4.163742635828692,2.2540757291517388e-4,0.004558010117719228,0.003944290318207146,CCND1/CREB3L4/MTOR/CEPT1/GCH1/BNIP3L/PCYT1A/RETSAT/GPX4/BCL2/ALOX5/PRNP/PAFAH1B1/INPP4A/SMOX/PML/LYPLA1/PTGS2/GAPDH/CDK4/ZMPSTE24/PLAAT3/BAX,23
GO:0031965,nuclear membrane,17/404,312/19880,0.05448717948717949,2.6812008123889313,4.310838320878873,2.3768764417554257e-4,0.004558010117719228,0.003944290318207146,CCND1/CREB3L4/CEPT1/GCH1/RETSAT/BCL2/ALOX5/PRNP/PAFAH1B1/INPP4A/SMOX/PML/LYPLA1/PTGS2/GAPDH/CDK4/ZMPSTE24,17
GO:1990204,oxidoreductase complex,11/404,153/19880,0.0718954248366013,3.537824370672361,4.538525952312634,3.016174543935673e-4,0.005462627229572386,0.00472710396359509,PDK2/RRM2B/HSD17B8/DLAT/DHTKD1/DLD/PDHA1/ACACB/OGDH/DBT/CBR4,11
GO:0098576,lumenal side of membrane,6/404,46/19880,0.13043478260869565,6.418424451140766,5.2988893436143005,3.1968374342230936e-4,0.005485100018719624,0.004746550871865868,ALG6/ALG9/ALG12/BDH1/CD74/ALG8,6
GO:0098553,lumenal side of endoplasmic reticulum membrane,5/404,35/19880,0.14285714285714285,7.02970297029703,5.142122941843904,6.642203435637328e-4,0.010826791600088845,0.009369002740793705,ALG6/ALG9/ALG12/CD74/ALG8,5
GO:0005795,Golgi stack,10/404,152/19880,0.06578947368421052,3.2373632100052108,3.987997003509103,0.0011160758543860222,0.017325748977611584,0.014992898695511478,B4GALT1/FUT8/CANT1/B4GALT3/B4GALT6/ST3GAL3/B4GALNT3/ST6GAL1/GCNT1/B4GALT2,10
GO:0045252,oxoglutarate dehydrogenase complex,3/404,11/19880,0.2727272727272727,13.420342034203419,5.934442959739478,0.001217383328560788,0.01803940750503713,0.01561046564853068,DLD/OGDH/DBT,3
GO:0035580,specific granule lumen,6/404,62/19880,0.0967741935483871,4.762056850846375,4.2729651755344085,0.001597843019077736,0.022647688009536607,0.01959825762530129,NFKB1/CXCL1/CANT1/NIT2/ARG1/AOC1,6
GO:0035578,azurophil granule lumen,7/404,91/19880,0.07692307692307693,3.7852246763137853,3.8353682843257,0.002543889907306949,0.03455450457425272,0.029901863822730804,MAPK1/IMPDH1/GLA/CTSG/GLB1/ARSA/ARG1,7
GO:0045121,membrane raft,14/404,291/19880,0.048109965635738834,2.3673913783130893,3.3843187893584297,0.002653530385966678,0.03460203623300548,0.029942995513223995,CTNNB1/PLPP1/MME/MAPK1/FASLG/PRNP/PRKACA/ICAM1/TNF/PPT1/PTGS2/PGK1/ITGAM/PIKFYVE,14
GO:0098857,membrane microdomain,14/404,293/19880,0.04778156996587031,2.351231710201737,3.3559674781232203,0.002822804103532703,0.0353936206827562,0.030627995941164554,CTNNB1/PLPP1/MME/MAPK1/FASLG/PRNP/PRKACA/ICAM1/TNF/PPT1/PTGS2/PGK1/ITGAM/PIKFYVE,14
