ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0016757,glycosyltransferase activity,43/408,267/18639,0.16104868913857678,7.3573198942498355,15.652220856992185,5.848224202361295e-25,4.0820604932481835e-22,2.9918283814185153e-22,SIRT2/B3GALT2/B4GALT1/ALG5/ALG6/ALG9/ALG2/ALG1/UGT8/QPRT/HPRT1/B4GAT1/LARGE2/EXT1/EXTL2/FUT8/B4GALT4/GCNT2/ALG12/GBA1/POMGNT1/POMT1/UMPS/B3GALNT1/B4GALT3/B4GALT6/HEXA/B3GALT4/ST3GAL3/B4GALNT3/DPAGT1/ST6GAL1/TYMP/GCNT1/PPAT/ALG8/C1GALT1C1/B4GALT2/B3GNT5/UGCG/ST6GALNAC3/ST8SIA5/AGL,43
GO:0016758,hexosyltransferase activity,33/408,197/18639,0.16751269035532995,7.65262018512989,14.042561130431876,6.257269943874095e-20,2.1837872104120594e-17,1.6005437856435847e-17,B3GALT2/B4GALT1/ALG5/ALG6/ALG9/ALG2/ALG1/UGT8/B4GAT1/LARGE2/EXT1/EXTL2/FUT8/B4GALT4/GCNT2/ALG12/GBA1/POMGNT1/POMT1/B3GALNT1/B4GALT3/B4GALT6/HEXA/B3GALT4/B4GALNT3/TYMP/GCNT1/ALG8/C1GALT1C1/B4GALT2/B3GNT5/UGCG/AGL,33
GO:0008194,UDP-glycosyltransferase activity,21/408,145/18639,0.14482758620689656,6.616277890466532,10.15644339720087,7.283059549085258e-12,1.6945251884205032e-9,1.2419533125808547e-9,B3GALT2/B4GALT1/ALG5/UGT8/B4GAT1/LARGE2/EXT1/EXTL2/B4GALT4/GCNT2/POMGNT1/B3GALNT1/B4GALT3/B4GALT6/HEXA/B3GALT4/B4GALNT3/GCNT1/B4GALT2/B3GNT5/UGCG,21
GO:0016829,lyase activity,24/408,200/18639,0.12,5.482058823529411,9.533411897118176,1.4100557420040551e-11,1.9768917580810148e-9,1.4489057373358067e-9,AMD1/HCCS/MOCS1/GLO1/ADSL/CYP1B1/TKFC/TPI1/ECHS1/NPL/ALDOA/PISD/UMPS/SHMT1/KYAT3/UROS/UROD/CTH/FASN/ECHDC1/SCLY/CHAC2/SGPL1/GUCY1A2,24
GO:0019842,vitamin binding,21/408,150/18639,0.14,6.395735294117647,9.925766257735585,1.4161115745566009e-11,1.9768917580810148e-9,1.4489057373358067e-9,GNMT/ABAT/PNPO/PCCA/PLOD1/MCCC1/DHTKD1/TKT/SHMT1/KYAT3/OAT/ACACB/KYNU/UROS/OGDH/PSAT1/CTH/FASN/SCLY/MTR/SGPL1,21
GO:0016627,"oxidoreductase activity, acting on the CH-CH group of donors",14/408,60/18639,0.23333333333333334,10.659558823529412,11.211048698997669,3.226244552204463e-11,3.753197829064525e-9,2.750797986616437e-9,COX15/RETSAT/ACAD8/ACADS/DHODH/MECR/ACOX1/DPYD/BLVRA/IVD/ACADM/FASN/PPOX/CPOX,14
GO:0008378,galactosyltransferase activity,11/408,32/18639,0.34375,15.703814338235293,12.453496710980998,4.128061813653728e-11,4.116267351329003e-9,3.0168993104296424e-9,B3GALT2/B4GALT1/UGT8/B4GALT4/B3GALNT1/B4GALT3/B4GALT6/B3GALT4/C1GALT1C1/B4GALT2/B3GNT5,11
GO:0001221,transcription coregulator binding,18/408,115/18639,0.1565217391304348,7.150511508951407,9.897311958227089,6.242544354414798e-11,5.4466199492269116e-9,3.991942837165253e-9,CTNNB1/NFATC1/RUNX1/HIF1A/STAT1/PPARA/FOS/GATA3/STAT6/PPARG/EHMT2/NFE2L2/SP1/THRB/MYC/PER2/EPAS1/LEF1,18
GO:0035250,UDP-galactosyltransferase activity,10/408,29/18639,0.3448275862068966,15.753042596348886,11.894108570068267,3.1272457106170355e-10,2.4253527844563232e-8,1.7775922986665258e-8,B3GALT2/B4GALT1/UGT8/B4GALT4/B3GALNT1/B4GALT3/B4GALT6/B3GALT4/B4GALT2/B3GNT5,10
GO:0016903,"oxidoreductase activity, acting on the aldehyde or oxo group of donors",11/408,46/18639,0.2391304347826087,10.924392583120206,10.081672987310425,3.2405314314363062e-9,2.2618909391425418e-7,1.6577876586084685e-7,ALDH2/AKR1B1/ALDH6A1/DLAT/DHTKD1/DLD/PDHA1/ALDH4A1/GAPDH/OGDH/DBT,11
GO:0016810,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",17/408,130/18639,0.13076923076923078,5.974038461538462,8.51361148128448,3.7114227372953777e-9,2.3550664278474306e-7,1.7260779428952666e-7,NADSYN1/SIRT2/GCH1/GLS2/ACER3/ADA/CDA/MTHFD2/MTHFD1/DHODH/AMDHD2/NIT2/GNPDA1/ATIC/UPB1/DCTD/ARG1,17
GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",10/408,40/18639,0.25,11.420955882352942,9.87000210868155,1.0672880382569957e-8,6.208058755861525e-7,4.550017426253509e-7,ALDH2/AKR1B1/ALDH6A1/DLAT/DLD/PDHA1/ALDH4A1/GAPDH/OGDH/DBT,10
GO:0016702,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen",8/408,24/18639,0.3333333333333333,15.227941176470589,10.433755399871162,2.6634205565718954e-8,1.430051960374756e-6,1.0481152959465111e-6,ALOX12/ALOX15/ALOX5/ETHE1/HAAO/PTGS2/PTGS1/ALOX15B,8
GO:0016701,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen",8/408,25/18639,0.32,14.618823529411765,10.193286515752098,3.842287107463729e-8,1.9156545721497733e-6,1.404023709945393e-6,ALOX12/ALOX15/ALOX5/ETHE1/HAAO/PTGS2/PTGS1/ALOX15B,8
GO:0001216,DNA-binding transcription activator activity,32/408,491/18639,0.06517311608961303,2.977357134299748,6.642567337112158,4.276883495483723e-8,1.990176453231759e-6,1.4586423710912908e-6,SMAD2/CREB3L4/IRF4/NFKB1/NFATC1/RUNX1/STAT3/ATF4/HIF1A/TP53/PPARA/FOS/GATA3/STAT6/IRF3/FOXO1/CEBPB/JUN/PPARG/MITF/TBX21/NFE2L2/SP1/NR4A2/CEBPA/MYC/MLXIP/GLI1/SPI1/RFX5/EPAS1/LEF1,32
GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",15/408,122/18639,0.12295081967213115,5.616863548698168,7.653606520275872,7.169885915036618e-8,3.1278627304347247e-6,2.292476680728814e-6,RDH13/KDSR/AKR1B1/HSD17B8/PGD/IMPDH1/SORD/HIBADH/BDH1/PHGDH/HSD3B7/HADH/LDHD/FASN/CBR4,15
GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",31/408,484/18639,0.0640495867768595,2.9260300194457947,6.422618053572981,1.034308870309966e-7,4.246750538096213e-6,3.1125331948646662e-6,SMAD2/CREB3L4/IRF4/NFKB1/NFATC1/RUNX1/STAT3/ATF4/HIF1A/TP53/PPARA/FOS/GATA3/STAT6/IRF3/FOXO1/CEBPB/JUN/PPARG/MITF/TBX21/NFE2L2/SP1/NR4A2/CEBPA/MYC/MLXIP/GLI1/RFX5/EPAS1/LEF1,31
GO:0016830,carbon-carbon lyase activity,10/408,51/18639,0.19607843137254902,8.957612456747404,8.512870574233576,1.2978602137202584e-7,5.032813495426335e-6,3.688655344257577e-6,AMD1/MOCS1/NPL/ALDOA/PISD/UMPS/SHMT1/UROD/ECHDC1/SGPL1,10
GO:0016874,ligase activity,17/408,167/18639,0.10179640718562874,4.650449101796407,7.0887892145894575,1.6095306679478764e-7,5.912907401197988e-6,4.3336947624524545e-6,NADSYN1/ACSS2/ACSF3/CTPS1/PCCA/MTHFD1/ACACA/MCCC1/CARNS1/GLUL/ACACB/AACS/GMPS/MTHFD1L/TPGS1/ACSS3/AK3,17
GO:0016614,"oxidoreductase activity, acting on CH-OH group of donors",15/408,132/18639,0.11363636363636363,5.1913435828877,7.229307636750968,2.0559677223147444e-7,7.175327350878458e-6,5.2589490160261366e-6,RDH13/KDSR/AKR1B1/HSD17B8/PGD/IMPDH1/SORD/HIBADH/BDH1/PHGDH/HSD3B7/HADH/LDHD/FASN/CBR4,15
GO:0016780,"phosphotransferase activity, for other substituted phosphate groups",7/408,22/18639,0.3181818181818182,14.535762032085561,9.503064814240677,2.9369489424392463e-7,9.761858865821877e-6,7.154672611656512e-6,SAMD8/CEPT1/CDIPT/SGMS2/DPAGT1/PTDSS2/CRLS1,7
GO:0001223,transcription coactivator binding,9/408,44/18639,0.20454545454545456,9.344418449197862,8.28989082770781,3.8013382022370446e-7,1.1841111946863604e-5,8.678601125283838e-6,NFATC1/RUNX1/HIF1A/STAT1/PPARA/GATA3/STAT6/THRB/EPAS1,9
