geneSet,description,link,size,overlap,expect,enrichmentRatio,pValue,FDR,overlapId
R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,http://reactome.org/PathwayBrowser/#/R-HSA-6785807,108,32,3.898806139852189,8.207640711577719,0,0,149233;2308;2353;240;246;2625;3091;3162;3383;356;3565;3566;3576;3586;3592;3606;3662;3684;4609;51561;5443;5743;595;596;6097;6772;6774;6778;7040;7124;7157;7422
R-HSA-446193,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",http://reactome.org/PathwayBrowser/#/R-HSA-446193,78,25,2.815804434337692,8.878457500504744,0,0,140838;1798;197258;256435;2673;2720;29880;29906;29929;51005;5238;54187;55577;56052;57171;5973;6480;64841;6487;79053;79087;79796;80896;85365;8790
R-HSA-15869,Metabolism of nucleotides,http://reactome.org/PathwayBrowser/#/R-HSA-15869,101,26,3.6461057418988063,7.130895766742028,1.1102230246251565e-15,5.103325169860303e-13,100;100526794;131870;132;1503;158;1635;1723;1806;1841;1854;1890;25961;2987;3251;3614;3704;471;50484;51727;51733;5471;54963;7372;8833;978
R-HSA-449147,Signaling by Interleukins,http://reactome.org/PathwayBrowser/#/R-HSA-449147,462,51,16.678226264923254,3.0578791287452702,5.544453784978032e-13,1.9114504423711765e-10,1432;1441;149233;2308;2353;240;246;2625;2919;3091;3162;3383;3458;3559;356;3565;3566;3576;3586;3592;3594;3606;3627;3662;3684;3725;4282;4609;4790;51561;5290;5443;5566;5594;5599;5743;595;596;6097;6772;6774;6775;6776;6778;6888;7040;7124;7157;7422;8878;9252
R-HSA-446219,Synthesis of substrates in N-glycan biosythesis,http://reactome.org/PathwayBrowser/#/R-HSA-446219,63,18,2.2743035815804435,7.914510686164229,4.25570689799315e-12,1.1737239624665107e-9,140838;197258;256435;2673;2720;29880;29906;51005;5238;54187;55577;57171;5973;6480;64841;6487;80896;8790
R-HSA-71387,Metabolism of carbohydrates,http://reactome.org/PathwayBrowser/#/R-HSA-71387,275,35,9.927515633882889,3.5255547602004293,6.380473926981267e-11,1.466445590884528e-8,10007;11041;178;2131;2203;226;231;23729;25796;2597;26007;2683;2720;3073;3425;3795;5207;5211;5226;5230;5315;55276;5566;64080;6448;6487;6652;6888;7086;7167;83440;8702;8703;8704;9331
R-HSA-71291,Metabolism of amino acids and derivatives,http://reactome.org/PathwayBrowser/#/R-HSA-71291,370,41,13.357021034678795,3.0695467120663973,1.1375200781316153e-10,2.240914553919282e-8,11112;1491;1629;1638;1737;1738;22928;23474;23498;25828;2593;259307;262;26227;2628;27034;27165;27232;2752;29968;3712;383;4329;4357;4548;4837;4942;4967;51540;5160;54498;55526;56267;56922;57571;6470;6821;8564;8659;8942;89874
R-HSA-8978868,Fatty acid metabolism,http://reactome.org/PathwayBrowser/#/R-HSA-8978868,177,27,6.389710062535531,4.22554384091819,1.7929080442513623e-10,3.090525241278286e-8,10728;1376;1545;1892;197322;2194;239;240;246;247;27306;27349;2879;3033;31;32;34;35;5095;51;51102;51422;5538;5742;5743;7923;84869
R-HSA-196849,Metabolism of water-soluble vitamins and cofactors,http://reactome.org/PathwayBrowser/#/R-HSA-196849,123,21,4.440306992609438,4.729402727098137,2.4854036606569707e-9,3.80819072005107e-7,10797;119391;133686;2194;23057;23475;25902;31;32;4337;4522;4548;4837;5095;5167;55163;55191;56922;5743;6470;80347
R-HSA-446203,Asparagine N-linked glycosylation,http://reactome.org/PathwayBrowser/#/R-HSA-446203,302,34,10.902217168845937,3.1186316942170302,3.232885736892399e-9,4.4581494311746185e-7,140838;1798;197258;2530;256435;2673;2683;2720;29880;29906;29929;4122;51005;5238;54187;55577;56052;57171;5973;64377;6480;64841;6487;7039;79053;79087;79796;80896;85365;8702;8703;8704;8790;9331
