category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Metabolism,Global and overview maps,hsa01240,Biosynthesis of cofactors,36/409,154/9447,0.23376623376623376,5.399485599974597,11.709375909644955,2.9923483309401656e-17,9.336126792533317e-15,3.937300435447587e-15,23057/55191/10201/217/2643/4337/158/1355/1352/112724/23475/1503/54995/55163/493911/10797/4522/1738/7372/51727/6470/1723/23498/8942/7390/7389/133686/29968/8564/25902/5498/1371/27430/129607/50808/80347,36
Metabolism,Global and overview maps,hsa01232,Nucleotide metabolism,25/409,85/9447,0.29411764705882354,6.793470444412484,11.413356855180094,7.861849337205401e-15,6.989426341187723e-13,2.947632566290369e-13,10201/1841/100526794/131870/3704/158/50484/132/100/978/1503/54963/3251/3614/124583/51727/1854/8833/1890/5167/51020/1635/2987/129607/50808,25
Organismal Systems,Immune system,hsa04659,Th17 cell differentiation,28/409,109/9447,0.25688073394495414,5.93337969089971,11.019967455232917,8.601825955596342e-15,6.989426341187723e-13,2.947632566290369e-13,4087/149233/6097/3662/2475/4790/3565/4772/51561/5599/861/6774/3091/6776/3559/6772/2353/2625/6778/5594/3725/3458/30009/3566/3594/7040/1432/5530,28
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,27/409,101/9447,0.26732673267326734,6.174659275218476,11.121900711404615,8.960803001522722e-15,6.989426341187723e-13,2.947632566290369e-13,4087/595/4790/4772/5599/6774/3576/6776/6772/5594/113026/2308/3725/596/7040/1906/3383/7124/1432/1027/1019/110117499/5290/7422/5579/581/3845,27
Human Diseases,Immune disease,hsa05321,Inflammatory bowel disease,22/409,66/9447,0.3333333333333333,7.699266503667482,11.617805748466795,1.806711015673941e-14,1.127387673780539e-12,4.754502672826161e-13,4087/149233/6097/4790/3586/3565/4772/51561/6774/6772/2625/6778/3725/3592/3458/3606/6775/30009/3566/3594/7040/7124,22
Metabolism,Global and overview maps,hsa01200,Carbon metabolism,28/409,117/9447,0.23931623931623933,5.527678515453577,10.482796321634948,6.03093042934927e-14,3.1360838232616205e-12,1.3225724625765945e-12,55902/2203/26007/7167/1892/5226/25796/5095/4329/1737/414328/5211/226/1738/5160/35/7086/6470/1431/6888/5315/2597/4967/51/26227/29968/5230/83440,28
Metabolism,Nucleotide metabolism,hsa00240,Pyrimidine metabolism,20/409,58/9447,0.3448275862068966,7.96475845206981,11.317743379362852,1.3712549888352397e-13,6.111879378808497e-12,2.5775469714948116e-12,10201/1841/100526794/50484/978/1503/54963/124583/7372/51727/1723/1854/1806/1890/5167/51020/51733/1635/129607/318,20
Metabolism,Amino acid metabolism,hsa00280,"Valine, leucine and isoleucine degradation",18/409,48/9447,0.375,8.661674816625917,11.32017042902216,4.3632819242279965e-13,1.7016799504489187e-11,7.176450533269732e-12,217/197322/18/1892/27034/5095/4329/56922/1738/35/5019/11112/65985/259307/3712/3033/1629/34,18
Metabolism,Nucleotide metabolism,hsa00230,Purine metabolism,25/409,128/9447,0.1953125,4.511288966992665,8.50817388081645,1.6132770141411162e-10,5.5926936490225355e-9,2.3585921259373045e-9,10201/100526794/131870/3704/158/50484/132/100/3251/3614/124583/55276/471/8833/5471/10846/5167/51020/374659/58497/2987/27115/318/2977/50808,25
Metabolism,Carbohydrate metabolism,hsa00640,Propanoate metabolism,13/409,32/9447,0.40625,9.383481051344743,10.105054733108801,2.550179110923036e-10,7.106907046933879e-9,2.9971773983358133e-9,55902/18/1892/5095/4329/31/1738/35/32/51/1629/55862/79611,13
