ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,32/389,108/11214,0.2962962962962963,8.541559554413025,14.928492949327799,1.3250624320936174e-21,1.3277125569578046e-18,1.0865511943167664e-18,IL23R/CCND1/RORC/POMC/IRF4/IL10/IL4/IL23A/STAT3/CXCL8/HIF1A/STAT1/HMOX1/TP53/FOS/GATA3/ALOX15/STAT6/FOXO1/FASLG/IL12A/BCL2/ALOX5/IL18/IL4R/TGFB1/ICAM1/TNF/MYC/PTGS2/ITGAM/VEGFA,32
R-HSA-446193,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",25/389,80/11214,0.3125,9.008676092544988,13.627050752384022,9.434064491686082e-18,4.726466310334727e-15,3.867966441591294e-15,ALG5/ALG6/ALG9/ALG2/ALG1/DOLPP1/NPL/NANS/ALG12/AMDHD2/NAGK/ST3GAL3/RENBP/DPAGT1/ST6GAL1/NANP/ALG8/FPGT/FCSK/GLB1/PGM3/GNPNAT1/GFPT1/ST6GALNAC3/ST8SIA5,25
R-HSA-15869,Metabolism of nucleotides,26/389,99/11214,0.26262626262626265,7.570927786866092,12.448336439379739,2.470309815717524e-16,8.25083478449653e-14,6.752180162961234e-14,DTYMK/NT5C1B-RDH14/NUDT16/ITPA/ADSL/RRM2B/ADK/ADA/CDA/CTPS1/UCKL1/HPRT1/IMPDH1/UMPS/CMPK1/DHODH/DUT/NUDT13/ATIC/GMPS/DPYD/TYMP/PPAT/UPB1/DCTD/GUK1,26
R-HSA-449147,Signaling by Interleukins,52/389,460/11214,0.11304347826086956,3.2587906560858384,9.377598650162868,2.7173585130159693e-14,6.806983075105003e-12,5.570584951682737e-12,IL23R/CCND1/RORC/POMC/IRF4/NFKB1/IL10/IL4/IL23A/MAPK8/STAT3/CXCL8/HIF1A/STAT5A/IL2RA/STAT1/HMOX1/TP53/FOS/CXCL1/GATA3/ALOX15/CXCL10/STAT6/MAPK1/FOXO1/JUN/FASLG/IL12A/BCL2/ALOX5/IFNG/IL18/STAT4/IL4R/IL12RB1/TGFB1/PRKACA/ICAM1/TNF/SQSTM1/MAPK14/MYC/RPS6KA5/PTGS2/CSF3R/TALDO1/CTSG/ITGAM/MIF/PIK3CA/VEGFA,52
R-HSA-5668914,Diseases of metabolism,36/389,262/11214,0.13740458015267176,3.961066739928178,9.193351883911962,1.1335032690509643e-12,1.9412895581699647e-10,1.5886800775442828e-10,POMC/B4GALT1/ALG6/ALG9/ALG2/ALG1/CYP1B1/ADA/ECHS1/HPRT1/B4GAT1/PCCA/EXT1/ACACA/MCCC1/ALG12/KHK/DLD/POMGNT1/POMT1/HEXA/ST3GAL3/DPAGT1/TALDO1/IVD/CYP7B1/ALG8/DBT/C1GALT1C1/GLB1/TPMT/SGSH/IDUA/GFPT1/MTR/GALM,36
R-HSA-71387,Metabolism of carbohydrates and carbohydrate derivatives,38/389,290/11214,0.1310344827586207,3.777431078805071,9.083917959738363,1.1624488372275239e-12,1.9412895581699647e-10,1.5886800775442828e-10,B3GALT2/B4GALT1/FBP1/TKFC/TPI1/AKR1B1/PGD/PGLS/B4GAT1/EXT1/B4GALT4/SORD/KHK/PFKL/ALDOA/SHPK/TKT/PRKACA/B4GALT3/B4GALT6/RBKS/PGM2/HEXA/B3GALT4/PFKFB1/ST3GAL3/GNPDA1/TALDO1/PKM/GAPDH/GLB1/PGK1/B4GALT2/SGSH/IDUA/ADPGK/GALM/AGL,38
R-HSA-446219,Synthesis of substrates in N-glycan biosythesis,18/389,65/11214,0.27692307692307694,7.9830729681629435,10.703037817788093,4.002304134402483e-12,5.729012489530412e-10,4.688413414585767e-10,ALG5/DOLPP1/NPL/NANS/AMDHD2/NAGK/ST3GAL3/RENBP/ST6GAL1/NANP/FPGT/FCSK/GLB1/PGM3/GNPNAT1/GFPT1/ST6GALNAC3/ST8SIA5,18
R-HSA-71291,Metabolism of amino acids and derivatives,40/389,353/11214,0.11331444759206799,3.266602095880335,8.202561421160214,3.072113514991721e-11,3.84782217752713e-9,3.148916352866514e-9,AMD1/GNMT/GLS2/ECHS1/ACAD8/DCT/ALDH6A1/MCCC1/DHTKD1/DLD/SHMT1/CARNS1/KYAT3/SMOX/OAT/ALDH4A1/GLUL/HIBADH/MPST/ETHE1/IL4I1/GAMT/GATM/HAAO/KYNU/OGDH/PHGDH/PSAT1/CTH/SUOX/KMO/IVD/DBT/TXN2/SEPHS2/SCLY/MTR/SLC25A21/ARG1/NNMT,40
R-HSA-8978868,Fatty acid metabolism,27/389,175/11214,0.15428571428571428,4.4477120822622105,8.713786355837467,5.7585578455655353e-11,6.411194401396296e-9,5.246686037070822e-9,PRKAG2/PTGES3/HPGDS/ACSF3/ALOX12/ALOX15/GPX4/ALOX5/CYP1B1/ECHS1/HSD17B8/PCCA/ACACA/ACADS/MCAT/PPT1/ACACB/MECR/PTGS2/ACOX1/HADH/ACADM/FASN/CPT2/CBR4/PTGS1/ALOX15B,27
R-HSA-428157,Sphingolipid metabolism,21/389,106/11214,0.19811320754716982,5.711160692632293,9.238142863674405,6.868473407799518e-11,6.882210354615117e-9,5.632148194395605e-9,SAMD8/GALC/PLPP1/SGPP2/UGT8/KDSR/ACER3/GBA1/B3GALNT1/GLA/B4GALT6/HEXA/B3GALT4/ST3GAL3/SGMS2/GLB1/ARSA/B3GNT5/UGCG/ST8SIA5/SGPL1,21
R-HSA-446203,Asparagine N-linked glycosylation,34/389,311/11214,0.10932475884244373,3.1515882921829412,7.294375566127781,2.5993335241054842e-9,2.3677565374124503e-7,1.9376849906968156e-7,B4GALT1/ALG5/ALG6/ALG9/ALG2/ALG1/DOLPP1/NPL/NANS/FUT8/B4GALT4/ALG12/B4GALT3/B4GALT6/AMDHD2/NAGK/ST3GAL3/RENBP/CHST8/DPAGT1/ST6GAL1/NANP/ALG8/FPGT/FCSK/GLB1/PGM3/GNPNAT1/TGFA/MAN2A2/B4GALT2/GFPT1/ST6GALNAC3/ST8SIA5,34
R-HSA-1660662,Glycosphingolipid metabolism,14/389,58/11214,0.2413793103448276,6.958425671483025,8.62408501961351,7.307538710149906e-9,6.101794822975171e-7,4.993484785269103e-7,GALC/UGT8/GBA1/B3GALNT1/GLA/B4GALT6/HEXA/B3GALT4/ST3GAL3/GLB1/ARSA/B3GNT5/UGCG/ST8SIA5,14
R-HSA-3781860,Diseases associated with N-glycosylation of proteins,9/389,20/11214,0.45,12.972493573264781,10.158479730188182,7.941695524606337e-9,6.121214550504269e-7,5.009377177059382e-7,B4GALT1/ALG6/ALG9/ALG2/ALG1/ALG12/DPAGT1/ALG8/GLB1,9
R-HSA-196849,Metabolism of water-soluble vitamins and cofactors,20/389,125/11214,0.16,4.612442159383034,7.698949591346447,9.891184461930589e-9,7.079262022038893e-7,5.793408041987916e-7,NMNAT2/NADSYN1/MOCS1/GSTO2/QPRT/PNPO/PCCA/MTHFD2/MTHFD1/ACACA/MCCC1/SHMT1/ACACB/NADK2/ENPP1/MTHFD1L/FASN/MTR/NNMT/COASY,20
R-HSA-196854,Metabolism of vitamins and cofactors,24/389,198/11214,0.12121212121212122,3.4942743631689646,6.712535780469167,8.864582654685072e-8,5.921541213329628e-6,4.84597185122784e-6,NMNAT2/NADSYN1/LPL/GCH1/MOCS1/RETSAT/GSTO2/QPRT/PNPO/PDSS1/PCCA/MTHFD2/MTHFD1/ACACA/MCCC1/SHMT1/ACACB/NADK2/ENPP1/MTHFD1L/FASN/MTR/NNMT/COASY,24
R-HSA-9840309,Glycosphingolipid biosynthesis,8/389,19/11214,0.42105263157894735,12.13800568258693,9.210727754777357,1.0548324005091002e-7,6.60588790818824e-6,5.406016052609139e-6,UGT8/B3GALNT1/B4GALT6/B3GALT4/ST3GAL3/B3GNT5/UGCG/ST8SIA5,8
R-HSA-975576,N-glycan antennae elongation in the medial/trans-Golgi,9/389,26/11214,0.34615384615384615,9.978841210203678,8.68865384934015,1.2274295689592107e-7,7.234614282924288e-6,5.92054262674443e-6,B4GALT1/FUT8/B4GALT4/B4GALT3/B4GALT6/CHST8/ST6GAL1/MAN2A2/B4GALT2,9
R-HSA-8956320,Nucleotide biosynthesis,7/389,14/11214,0.5,14.41388174807198,9.519874851333935,1.5928444259833436e-7,8.866833971307278e-6,7.256291273924122e-6,ADSL/IMPDH1/UMPS/DHODH/ATIC/GMPS/PPAT,7
R-HSA-70895,Branched-chain amino acid catabolism,8/389,21/11214,0.38095238095238093,10.982005141388175,8.679125012977746,2.671484868260377e-7,1.4088567568404726e-5,1.1529566273544787e-5,ECHS1/ACAD8/ALDH6A1/MCCC1/DLD/HIBADH/IVD/DBT,8
R-HSA-71336,Pentose phosphate pathway,7/389,15/11214,0.4666666666666667,13.452956298200514,9.148507120603927,2.897768352138783e-7,1.4517819444215303e-5,1.1880850243769011e-5,PGD/PGLS/SHPK/TKT/RBKS/PGM2/TALDO1,7
R-HSA-189445,Metabolism of porphyrins,8/389,27/11214,0.2962962962962963,8.541559554413025,7.437174768200211,2.4267267471027478e-6,1.0890648935613542e-4,8.912507112977152e-5,HMOX1/COX15/COX10/UROS/UROD/BLVRA/PPOX/CPOX,8
R-HSA-3781865,Diseases of glycosylation,18/389,145/11214,0.12413793103448276,3.5786189167626983,5.92432303115834,2.625595043398306e-6,1.0890648935613542e-4,8.912507112977152e-5,B4GALT1/ALG6/ALG9/ALG2/ALG1/B4GAT1/EXT1/ALG12/POMGNT1/POMT1/HEXA/ST3GAL3/DPAGT1/ALG8/C1GALT1C1/GLB1/GFPT1/GALM,18
R-HSA-9700206,Signaling by ALK in cancer,14/389,91/11214,0.15384615384615385,4.435040537868302,6.236822058088585,2.712984240496765e-6,1.0890648935613542e-4,8.912507112977152e-5,IRF4/IL10/MAPK8/STAT3/STAT5A/STAT1/TP53/MAPK1/BCL2A1/CEBPB/JUN/SQSTM1/ATIC/PIK3CA,14
R-HSA-9725370,Signaling by ALK fusions and activated point mutants,14/389,91/11214,0.15384615384615385,4.435040537868302,6.236822058088585,2.712984240496765e-6,1.0890648935613542e-4,8.912507112977152e-5,IRF4/IL10/MAPK8/STAT3/STAT5A/STAT1/TP53/MAPK1/BCL2A1/CEBPB/JUN/SQSTM1/ATIC/PIK3CA,14
R-HSA-1638074,Keratan sulfate/keratin metabolism,9/389,36/11214,0.25,7.20694087403599,7.070800197509443,2.7172277783466925e-6,1.0890648935613542e-4,8.912507112977152e-5,B4GALT1/B4GAT1/B4GALT4/B4GALT3/B4GALT6/HEXA/ST3GAL3/GLB1/B4GALT2,9
R-HSA-447115,Interleukin-12 family signaling,11/389,57/11214,0.19298245614035087,5.563252604519009,6.54726592808344,3.333239782585373e-6,1.284579331596363e-4,1.051252546815387e-4,IL23R/IL10/IL23A/STAT3/STAT1/IL12A/IFNG/STAT4/IL12RB1/TALDO1/MIF,11
R-HSA-6783783,Interleukin-10 signaling,10/389,47/11214,0.2127659574468085,6.133566701307226,6.685311369110039,3.6902798886109377e-6,1.3695038697733925e-4,1.1207516698744331e-4,IL10/STAT3/CXCL8/CXCL1/CXCL10/IL12A/IL18/ICAM1/TNF/PTGS2,10
R-HSA-189451,Heme biosynthesis,6/389,14/11214,0.42857142857142855,12.354755784061696,8.058506557750478,3.9752499707813314e-6,1.4225715966867478e-4,1.1641803485859615e-4,COX15/COX10/UROS/UROD/PPOX/CPOX,6
R-HSA-1483257,Phospholipid metabolism,22/389,213/11214,0.10328638497652583,2.977515478474963,5.523512868017405,4.676136204306565e-6,1.6156856816259234e-4,1.3222178232866842e-4,MGLL/CEPT1/PEMT/PLD4/LPCAT3/MTM1/PCYT1A/PLA2G4B/CDIPT/PISD/PTEN/PIP5K1C/INPP4A/PIK3C2A/PTDSS2/PIK3C3/GDPD1/PLAAT3/PIK3CA/PIKFYVE/CRLS1/AGPAT1,22
R-HSA-499943,Interconversion of nucleotide di- and triphosphates,8/389,30/11214,0.26666666666666666,7.687403598971723,6.952505513917385,5.83863478937919e-6,1.9501040196526494e-4,1.5958935090969786e-4,DTYMK/RRM2B/CTPS1/CMPK1/DUT/NUDT13/DCTD/GUK1,8
R-HSA-975577,N-Glycan antennae elongation,6/389,15/11214,0.4,11.531105398457585,7.7366281884038735,6.43223206115964e-6,2.0255525474297047e-4,1.6576378132658265e-4,B4GALT1/B4GALT4/B4GALT3/B4GALT6/ST6GAL1/B4GALT2,6
R-HSA-9837999,Mitochondrial protein degradation,14/389,98/11214,0.14285714285714285,4.118251928020565,5.877217019304779,6.645477686009891e-6,2.0255525474297047e-4,1.6576378132658265e-4,ALDH2/ACAD8/OXSM/DLD/PDHA1/CS/PRKACA/OXCT1/BDH1/NADK2/OGDH/HADH/DBT/LDHD,14
R-HSA-1483249,Inositol phosphate metabolism,10/389,50/11214,0.2,5.765552699228793,6.401918248684262,6.670981443630764e-6,2.0255525474297047e-4,1.6576378132658265e-4,PLD4/INPP5B/PLCD3/IMPA1/INPP5A/IPMK/ITPK1/INPP1/PTEN/INPP4A,10
