userId	geneSymbol	geneName	entrezgene	gLink
4087	SMAD2	SMAD family member 2	4087	https://www.ncbi.nlm.nih.gov/gene/?term=4087
149233	IL23R	interleukin 23 receptor	149233	https://www.ncbi.nlm.nih.gov/gene/?term=149233
23057	NMNAT2	nicotinamide nucleotide adenylyltransferase 2	23057	https://www.ncbi.nlm.nih.gov/gene/?term=23057
55191	NADSYN1	NAD synthetase 1	55191	https://www.ncbi.nlm.nih.gov/gene/?term=55191
595	CCND1	cyclin D1	595	https://www.ncbi.nlm.nih.gov/gene/?term=595
1499	CTNNB1	catenin beta 1	1499	https://www.ncbi.nlm.nih.gov/gene/?term=1499
6097	RORC	RAR related orphan receptor C	6097	https://www.ncbi.nlm.nih.gov/gene/?term=6097
10891	PPARGC1A	PPARG coactivator 1 alpha	10891	https://www.ncbi.nlm.nih.gov/gene/?term=10891
51422	PRKAG2	protein kinase AMP-activated non-catalytic subunit gamma 2	51422	https://www.ncbi.nlm.nih.gov/gene/?term=51422
22933	SIRT2	sirtuin 2	22933	https://www.ncbi.nlm.nih.gov/gene/?term=22933
148327	CREB3L4	cAMP responsive element binding protein 3 like 4	148327	https://www.ncbi.nlm.nih.gov/gene/?term=148327
5443	POMC	proopiomelanocortin	5443	https://www.ncbi.nlm.nih.gov/gene/?term=5443
3662	IRF4	interferon regulatory factor 4	3662	https://www.ncbi.nlm.nih.gov/gene/?term=3662
2475	MTOR	mechanistic target of rapamycin kinase	2475	https://www.ncbi.nlm.nih.gov/gene/?term=2475
10365	KLF2	Kruppel like factor 2	10365	https://www.ncbi.nlm.nih.gov/gene/?term=10365
142891	SAMD8	sterile alpha motif domain containing 8	142891	https://www.ncbi.nlm.nih.gov/gene/?term=142891
139189	DGKK	diacylglycerol kinase kappa	139189	https://www.ncbi.nlm.nih.gov/gene/?term=139189
4790	NFKB1	nuclear factor kappa B subunit 1	4790	https://www.ncbi.nlm.nih.gov/gene/?term=4790
