Model,metric,sorted_by,test,p_raw,p_adj_BH,reject_0.05,A12_TACO_vs_Model,n_taco,n_model
ExtraTrees,F1_Score,median,Wilcoxon (paired),0.4375,0.525,False,0.64,5,5
RandomForest,F1_Score,median,Wilcoxon (paired),0.8125,0.8125,False,0.4800000000000001,5,5
Bagging,F1_Score,median,Wilcoxon (paired),0.4375,0.525,False,0.5599999999999999,5,5
SVC,F1_Score,median,Wilcoxon (paired),0.8125,0.8125,False,0.44000000000000006,5,5
GradientBoosting,F1_Score,median,Wilcoxon (paired),0.3125,0.46875,False,0.72,5,5
KNN,F1_Score,median,Wilcoxon (paired),0.0625,0.10714285714285714,False,0.78,5,5
TabPFN_Base,F1_Score,median,Wilcoxon (paired),0.0625,0.10714285714285714,False,0.8,5,5
MLP,F1_Score,median,Wilcoxon (paired),0.0625,0.10714285714285714,False,1.0,5,5
AdaBoost,F1_Score,median,Wilcoxon (paired),0.0625,0.10714285714285714,False,1.0,5,5
LogisticRegression,F1_Score,median,Wilcoxon (paired),0.0625,0.10714285714285714,False,1.0,5,5
LDA,F1_Score,median,Wilcoxon (paired),0.0625,0.10714285714285714,False,1.0,5,5
RidgeClassifier,F1_Score,median,Wilcoxon (paired),0.0625,0.10714285714285714,False,1.0,5,5
