Model,mean,median,std,n
TACO,0.8847540983606557,0.8833333333333333,0.07587033703264044,5
AdaBoost,0.7361202185792349,0.75,0.03723593660788513,5
Bagging,0.8582513661202187,0.8666666666666667,0.07536388875019877,5
ExtraTrees,0.8879234972677595,0.8852459016393442,0.05342644496826926,5
GradientBoosting,0.8185245901639344,0.819672131147541,0.010698387394761805,5
KNN,0.7889071038251367,0.7666666666666667,0.05925926548020708,5
LDA,0.564535519125683,0.5409836065573771,0.06539833088346714,5
LogisticRegression,0.6375956284153006,0.6065573770491803,0.09336801578508788,5
MLP,0.6573224043715847,0.7049180327868853,0.13357252575398315,5
RandomForest,0.8780874316939891,0.8833333333333333,0.08223916633914566,5
RidgeClassifier,0.5482513661202185,0.5166666666666667,0.10975882883681551,5
SVC,0.8979781420765027,0.9,0.07801721079485231,5
TabPFN_Base,0.8121311475409836,0.8333333333333334,0.06234587134816279,5
