Model,metric,sorted_by,test,p_raw,p_adj_BH,reject_0.05,A12_TACO_vs_Model,n_taco,n_model
SVC,Recall,median,Wilcoxon (paired),0.1875,0.22499999999999998,False,0.4,5,5
ExtraTrees,Recall,median,Wilcoxon (paired),1.0,1.0,False,0.5,5,5
RandomForest,Recall,median,Wilcoxon (paired),0.625,0.6818181818181819,False,0.5,5,5
Bagging,Recall,median,Wilcoxon (paired),0.125,0.1875,False,0.6199999999999999,5,5
TabPFN_Base,Recall,median,Wilcoxon (paired),0.0625,0.10714285714285714,False,0.8,5,5
GradientBoosting,Recall,median,Wilcoxon (paired),0.1875,0.22499999999999998,False,0.8,5,5
KNN,Recall,median,Wilcoxon (paired),0.0625,0.10714285714285714,False,0.8400000000000001,5,5
AdaBoost,Recall,median,Wilcoxon (paired),0.0625,0.10714285714285714,False,1.0,5,5
MLP,Recall,median,Wilcoxon (paired),0.0625,0.10714285714285714,False,1.0,5,5
LogisticRegression,Recall,median,Wilcoxon (paired),0.0625,0.10714285714285714,False,1.0,5,5
LDA,Recall,median,Wilcoxon (paired),0.0625,0.10714285714285714,False,1.0,5,5
RidgeClassifier,Recall,median,Wilcoxon (paired),0.0625,0.10714285714285714,False,1.0,5,5
