Model,mean,median,std,n
TACO,0.683231643172733,0.673469387755102,0.060735204573925256,5
AdaBoost,0.5911213970124132,0.6122448979591837,0.05632895756596415,5
Bagging,0.6544287818220071,0.6701030927835051,0.04320179586920892,5
ExtraTrees,0.6626341258152746,0.6836734693877551,0.03959290590530682,5
GradientBoosting,0.6482221754681253,0.6530612244897959,0.030823176878729295,5
KNN,0.6319798022301704,0.6224489795918368,0.03933798878257844,5
LDA,0.4907426888281086,0.5102040816326531,0.04310806960277352,5
LogisticRegression,0.5481380180938354,0.5714285714285714,0.0449072701488654,5
MLP,0.5992005049442458,0.6082474226804123,0.07032355347286107,5
RandomForest,0.6749842204923207,0.673469387755102,0.059356710881658975,5
RidgeClassifier,0.49894803282137595,0.4845360824742268,0.062329210687082734,5
SVC,0.6729013254786451,0.6530612244897959,0.03356447963754902,5
TabPFN_Base,0.6115716389648642,0.6020408163265306,0.04843669753911061,5
