Model,mean,median,std,n
TACO,0.7753490568593364,0.7611940298507462,0.04473775566508651,5
AdaBoost,0.6908860355016992,0.6935483870967742,0.037190791536874726,5
Bagging,0.7537662337662339,0.7575757575757576,0.03810802618889973,5
ExtraTrees,0.7650849149183747,0.782608695652174,0.02858982559866284,5
GradientBoosting,0.7427809266225879,0.7424242424242424,0.017116386104263775,5
KNN,0.7258440456996599,0.7131782945736435,0.03477275541625225,5
LDA,0.5777640173310299,0.5688073394495413,0.03828798667799375,5
LogisticRegression,0.6339457541855487,0.6371681415929203,0.049883980497257466,5
MLP,0.6650345428638353,0.696969696969697,0.08770935764702285,5
RandomForest,0.7689572367103428,0.7647058823529411,0.04831223419390523,5
RidgeClassifier,0.5717012216109735,0.5535714285714286,0.07761303171403858,5
SVC,0.7717744938846328,0.7552447552447552,0.03158838695829937,5
TabPFN_Base,0.7210111794535321,0.704225352112676,0.03811555638914762,5
