Model,mean,median,std,n
TACO,0.6921003771329461,0.6956521739130435,0.041755145471050595,5
AdaBoost,0.6517234721460075,0.6619718309859155,0.04500069308896041,5
Bagging,0.6735177733065056,0.675,0.02471207144720274,5
ExtraTrees,0.6733763852917369,0.6805555555555556,0.0293006674049475,5
GradientBoosting,0.6805795672533923,0.684931506849315,0.031445145503807045,5
KNN,0.6732106347964527,0.676923076923077,0.025199136466021607,5
LDA,0.5961410510901705,0.5882352941176471,0.042769625794738704,5
LogisticRegression,0.6367150823033175,0.6274509803921569,0.03864692924946779,5
MLP,0.6853840311821232,0.671875,0.06257240254796306,5
RandomForest,0.6852942667089008,0.6933333333333334,0.03327384601978428,5
RidgeClassifier,0.60200484215639,0.5961538461538461,0.04228654112389159,5
SVC,0.6785487979872474,0.684931506849315,0.01662090609499814,5
TabPFN_Base,0.6493991113937978,0.6571428571428571,0.03122649129931875,5
