Model,mean,median,std,n
TACO,0.675231482561077,0.6991581745680107,0.05101722386636914,5
AdaBoost,0.5623430807857037,0.5928223305272485,0.05669185497524448,5
Bagging,0.6510181967990423,0.6493132476739034,0.03840324284869305,5
ExtraTrees,0.6375903427154506,0.6696942844483829,0.0594034028166981,5
GradientBoosting,0.6009990361370862,0.6180770934869295,0.04081954226134404,5
KNN,0.62489933851021,0.642002658396101,0.06114194463415461,5
LDA,0.4522432743355953,0.456578947368421,0.07143395359633058,5
LogisticRegression,0.5079554446594998,0.4873726185201594,0.05956688031066147,5
MLP,0.6063928985067897,0.6242800177226406,0.06946018883352457,5
RandomForest,0.6405382669122963,0.634249003101462,0.058683330646226654,5
RidgeClassifier,0.48013062674408663,0.4404076207354895,0.06077020770044157,5
SVC,0.6391129351957652,0.661940629153744,0.06271219395577825,5
TabPFN_Base,0.5692903947951402,0.5768719539211342,0.05890909238334867,5
